"Loot";"Sollen Lootboxen in Videospielen verboten werden, weil diese Glückspielsucht fördern?"
"Kindergrund";"Sollte es eine Kindergrundsicherung (Geld zur Unterstützung ärmerer Kinder) geben?"
"Zucker";"Sollen ungesunde Lebensmittel mehr besteuert werden (Zuckersteuer)? 
Dadurch können zuckerhaltige Produkte teurer werden."
"Atom";"Soll Deutschland wieder Atomenergie zur Stromerzeugung nutzen?"
"Hausaufgaben";"Sollen Hausaufgaben verboten werden?"
"Wind";"Soll weiterhin mehr Geld für den Ausbau von Wind- und Sonnenenergie ausgegeben werden?"
"Pflicht";"Soll es ein soziales Pflichtjahr nach Beendigung der Schule geben?"
"Quote";"Soll es weiterhin eine gesetzliche Frauenquote zur Stärkung der Gleichberechtigung geben?"
"Geld";"Soll das Bürgergeld (Grundsicherung für arme Menschen) gesenkt werden, um Kosten zu sparen?"
"Tempo";"Soll es ein Tempolimit (maximal 130km/h) auf der Autobahn geben?"
"Mindest";"Sollte der Mindestlohn angehoben werden?"
"Selbst";"Soll das Selbstbestimmungsgesetz über das eigene Geschlecht (SBGG) behalten werden?"
"16";"Soll man in Deutschland schon ab 16 Jahren wählen gehen dürfen?"
"Entscheid";"Sollen die Bürger*innen in Deutschland mehr mitbestimmen können, z.B. über direkt gewählte Gesetze(Volksentscheide)?"
"Strafe";"Sollen unter 14-Jährige strafrechtlich belangt (von einem Gericht verurteilt) werden können?"
"Sport-Geschlecht";"Soll es eine Geschlechtertrennung im Sportunterricht geben?"
"Schule";"Soll der Bund (die deutsche Regierung) mehr Mitbestimmung in der Schulpolitik erhalten?"
"Essen";"Soll Schulessen in Deutschland kostenfrei sein?"
"Stunden";"Soll es in Deutschland Gesetz sein, 35 Stunden pro Woche zu arbeiten (statt 40 Stunden pro Wochen) und das gleiche Geld zu bekommen?"
"Straße";"Sollen die Zugstrecken (+ ÖPNV) mehr ausgebaut werden als normale Straßen?"
"Rente";"Sollen alle Bürger*innen nach 40 Jahren Arbeiten in Rente gehen dürfen (statt 45 Jahren)?"
"Rassismus";"Soll mehr Geld zur Bekämpfung von Rechtsextremismus ausgegeben werden, z.B. für Programme wie Schule ohne Rassismus?"
